Product,Price
HP M160 Gaming Mouse with Multicolor LED Lighting and Ambidextrous Design - Black,150.00 جنيه
HP خرطوشة حبر901 أصلية طراز CC653AE أسود,"1,150.00 جنيه"
"HP HP ProBook 450 G10 Intel Core I5-1335U 512GB SSD 8GB Ram Nvidia GeForce RTX 2050 4GB 15.6"" Inch FHD Pike Silver Aluminum","38,000.00 جنيه"
HP HP T0F84AA – 15.6-inch SMB-Backpack Case With Double Safety – Black,"2,250.00 جنيه"
HP PRINTER-HP-LJ PRO MFP 4103dw 2Z627A,"19,444.00 جنيه"
HP 107A Original Laser Toner Cartridge BLACK,"4,200.00 جنيه"
HP GT52 Inkjet Printer Cartridge Magenta  MOH55AE,710.00 جنيه
"HP  OMEN 16-AE0073CL GAMING ( Core i7-14650HX-5.2GHz-32G Ram DDR5-5600-1TB SSD NVMe-VGA Nvidia 8GB RTX4060-16.1"""" FHD IPS 144 Hz-Win 11 Home-Silver )","89,990.00 جنيه"
HP محول HP USB من النوع C إلى محول HDMI - أبيض,599.00 جنيه
HP طابعة ليزر جيت MFP M141w باللون الأبيض أبيض,"8,300.00 جنيه"
HP خرطوشة حبر إتش بي 123 طراز F6V17AE أسود,890.00 جنيه
"HP Brother Wireless All in One Ink Tank Printer, DCP-T420W - Black","8,290.00 جنيه"
HP طابعة ليزر ملونة طراز 150a أبيض,"13,500.00 جنيه"
HP LaserJet M111w Printer 7MD68A - White,"6,380.00 جنيه"
HP 653 Tri-Colour Original Ink Advantage Cartridge Multicolour,944.00 جنيه
HP HP Z3700 Wireless Mouse - Marble  - Without Box,999.00 جنيه
HP Wireless Mouse 200 - Black,"1,000.00 جنيه"
HP لابتوب جيمينج اتش بى Victus 15-fb0048ne، بروسيسور AMD رايزن 5-5600H، شاشة 15.6 بوصة FHD، هارد 512 جيجابايت SSD، رام 8 جيجابايت DDR4، AMD Radeon جرافيكس، دوس - ازرق,"31,999.00 جنيه"
HP فأرة لاسلكي متوافقة مع الكل - GRFE21121,350.00 جنيه
HP 137fnw Printer Wireless Laser - White,"12,870.00 جنيه"
HP انك حبر GT53XL & GT52,"2,142.00 جنيه"
HP Printer HP Smart Tank 580 All-in-One Printer (1F3Y2A),"7,030.00 جنيه"
HP Pavilion 15-dk2052ne Gaming Laptop - Intel® Core™ I7-11370H - 16GB RAM - 1TB SSD - 15.6-inch FHD - NVIDIA® GeForce RTX™ 3050 Ti  GPU - Windows 11 - Black - English/Arabic Keyboard,"70,000.00 جنيه"
HP T1A66AA - Stereo 3.5mm Headset G2 - Black,999.00 جنيه
HP 107A Black and White Laser Printer,"6,240.00 جنيه"
HP أتش بى Odyssey Sport شنطة ظهر- 15.6 بوصة - موديل 5,"2,799.00 جنيه"
HP Original 21 Ink Cartridge Black,"1,300.00 جنيه"
HP HP Z3700 White Wireless Mouse,"1,399.00 جنيه"
HP اتش بي ProBook 450 G10 ( 816P4EA ) ( كور i7-1355U 10 كور - رام 16 جيجا DDR4 - هارد 1 تيرا SSD - GPU Nvidia RTX 2050 4 جيجا - شاشة 15.6 FHD IPS - Backlit KYB - OS DOS - اللون فضي),"46,499.00 جنيه"
HP Original Ink Cartridge 3JA29AE 963XL Yellow,"2,650.00 جنيه"
HP PROBOOK 450-G10 ( Core i7-1355U-16GB Ram DDR4-3200-512GB NVMe-VGA Nvidia 4G RTX 2050-KB Backlit -15.6FHD Touch-FingerPrint-Silver ),"45,190.00 جنيه"
